labeling,index,youtube_id,comment,like_num,comment_date
1,0,useruv1ip2hb1n,아 안녕 ㅠㅠ 밟힌거 짠하네요  MLB 광고주 모델 픽 센스 찢었다니까 ㅠㅠ 진짜  언니들 넷  일도 하고 여행도 가고 넘 부러워 !! 그리고 언니 핑꾸 캐리어 너무 탐나?? 역시 야구에 진심인 나라 사람부터가 대박이네 넷이서 광고 제발 많이 찍어주세요ㅠㅠ 광고주들 부탁드릴게요,10,1개월 전(수정됨)
1,1,xxxkim,"이사정리로 못본영상 이제 다 보고가요
네분 좋은기회로 출장도 같이 가시고 보기좋네요
이뽀요이뽀~  
다음 영상들도 기대됩니당~?",0,1개월 전
1,2,userxu4hi3vk3n,언니 브이로그는 역시 믿고 봐여.. 짱예??,4,1개월 전
1,4,kimtaedy,도대체 얼마나 이쁘면 길가다가 아이돌 아니냐며.. ,8,1개월 전
1,5,asmaavlog85,??????좋은 아침 루틴만큼 좋은 것은 없습니다. 그것은 하루의 분위기를 진정으로 설정하고 요즘 아침이 온통 바쁘기 때문에 확실히 메모하고 있습니다! ?????,2,1개월 전
1,6,usermz5xy1nt9j,MLB 특유의 그 하이틴 스러움이 진짜 네분한테 딱인듯 ㅜㅜ,1,1개월 전
1,7,userhw9bu1iu1v,언니 영상은 말해뭐해.. 이번 영상에서도 넘넘 이쁘구요 .. 사랑합미다 .. ,1,1개월 전
1,9,yunseon2,ㄹㅇ 지구에서 제일 예쁀애들 모임이다,48,1개월 전
1,10,userzx1jr3el4x,"항상 언니영상보고 다이어트자극받는거 알구이써요~?
항상 즐겁고 긍정에너지 주셔서 감사해요??",0,1개월 전
1,11,highsummer,와 mlb 모델 잘고른듯ㅋㅋㅋㅋ 착장다이뻐여,4,1개월 전
1,12,MLBKOREA,행복했다면 다행..,1,1개월 전
1,13,24rang,긴 영상 너무 조아요 .. ??,3,1개월 전
1,14,userxo9uh4ph5d,"탈색이 이렇게 잘 어울리는 사람은 샌 언니뿐일거야 … 
바비 인형 그 잡채",1,1개월 전
1,15,lj2132,일도 우정도 다 겟챠 한 언니 ㅎㅎ 언니 영상보니 피자가 너무 먹구싶어용 .. ㅎㅎ,1,1개월 전
1,16,userzu7gd6sz9t,"언니 얼굴에 보정 100한것같아요,, 진차예뻐,,",1,1개월 전
1,17,userqe6sp8ud4t,새은님 브이로그를 잘 볼게요,2,1개월 전
1,18,Soyoun,진짜 야무지게먹는데 몸매관리 대박.. 운동 왕많이하시나요 ??,0,1개월 전
1,20,userdn8bv7dn8e,웅니… 오늘도 아름답워요 치마 정보 궁금해요?,0,1개월 전
1,21,leem82,영상 재밌게 잘 봤습니다.,0,1개월 전
1,22,uservs1jy6lq1s,비행기에서 입은 크롭 후드집업 정보 좀 알 수 잇을까용?!!,1,1개월 전
1,23,userbw5xf8pi1o,잉 기다려써욥 ????,0,1개월 전
1,24,usergt9tj1yn7z,"언니 영상만 기다려써요ㅠㅠ..??
혹시 자유시간 첫 날 스벅가셨을 때 입으신 청바지 알 수 있을까요???",4,1개월 전
1,25,userfv1hy3pf9l,언니 짐 살때 검은 바지 정보 알 수 있을까요ㅠㅠ 영상 잘 보구 가여,3,1개월 전
1,26,userkq6df2jz1p,언니 연수언니 집들이 영상에서 착용하셨던 스트라이프 셔츠 정보좀여..,0,1개월 전
1,27,userui5px9qk7e,우리웅니 바비 그잡ㅊㅐ 금발 개찰떡 진짜 개이뻐,1,1개월 전
1,28,userpq5sm7vv1u,"Day5때 오전에 입으신 갈색 슬리브+힌색 볼레로? 
정보좀요ㅠㅠㅠㅠㅠㅠㅠㅠㅍ볼레로넘이뻐여",1,1개월 전
1,29,Mhow7dm,짐쌀때랑 비행기에서 입으신 바지 정보 알수있을까용????,0,1개월 전
1,30,uservq5jc6pc3f,사진은 어디에 올라오나요?,0,13일 전
1,31,useriz5qz3nx9n,언닝 처음 영상에 나온 검정카고바지 정보좀 알 구 있을까용,0,1개월 전
1,32,userqm8xw5de9f,"언닝 영상 너무 잘 보고 있어요 
영상 처음에 짐쌀 때 입었던 검정 조거팬츠 정보 알 수 있을까요?!",0,1개월 전
1,34,uservn5qh9qq2q,인형이 4명이야 .....,1,1개월 전
1,35,Shhhhur,13:30 여기 왼쪽 mlb 신발 뭐예요ㅜㅜㅜㅜㅜㅜㅜㅜ진짜ㅜㅜㅜㅜㅜㅜ너무 알고싶어요ㅜㅜㅜㅜㅜㅜㅜ 공홈 뒤져도 안나와요..출시전인가..,2,1개월 전
1,37,userur5ht5gl2q,새은언니 찍어주셨으면 하는 영상 요청드려도되나요??,3,1개월 전
0,38,now0325,자막 중에 좌서 업그레이드가 *되서 -> 되어서/돼서 에오??,0,1개월 전(수정됨)
-1,39,userbc1jb1do1m,..ㅠㅠ인스타 오디갓져요ㅜㅜ,0,4일 전
1,40,usernj1og1oq4z,핑쿠 케리어 정보알수있을까요ㅠㅠ,1,1개월 전
-1,43,userfn1ey7ib4l,한국어 자막이 이상한 것 같아요..!,1,1개월 전
