,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"V-LOG | 네일리스트 일상브이로그(내돈내산 네일재료언박싱,온도변화 글리터,샵재료정리하기,인센스스틱,누디오추천향기,석고트레이만들기,패디아트만들기,네일샵일상)",https://www.youtube.com/watch?v=5MyaasbcmW0,34004,2021-06-11,0:22:20,
1,"V-LOG | 네일리스트 일상브이로그(네일재료 언박싱,디젤 재료 언박싱,메이크엔 키스뉴욕 콜라보,네스프레소,애플워치⏱,와이영슬라임,그라파우더네일,구름프렌치,생화네일,5월아트)",https://www.youtube.com/watch?v=id-cNp-BYYs,26908,2021-05-15,0:24:54,
2,"V-LOG | 네일리스트 일상브이로그(우리여러분오랜만이예요🥰,샵리모델링🪑,4월네일,시디즈의자,바쁜일상,네일샵인테리어,네일수강,석고방향제만들기,새로운명함)",https://www.youtube.com/watch?v=t-rM6tTKh7w,34750,2021-04-10,0:19:20,
3,"V-LOG | 네일리스트 일상브이로그(네일재료택배언박싱,네일샵일상,조각풀스톤,마그네띠끄파우더, 도깨비젤,늬앙스네일)",https://www.youtube.com/watch?v=o7mevYhwz-A,63158,2021-02-06,0:24:05,
4,"V-LOG | 네일리스트 일상브이로그(마켓비,네일재료택배만뜯는일상..,도깨비젤,스와정리,비트주문,홀로그램네일,깔끔네일,브이컷네일,네일샵일상)",https://www.youtube.com/watch?v=Ki3LdJtgnmU,25593,2021-01-16,0:18:04,
5,"V-LOG | 네일리스트 일상브이로그(고객님들선물언박싱♡,이달의아트,어그슬리퍼st,그라네일,도깨비젤,열손연장빠르게하는방법,잠옷언박싱,네일재료언박싱)",https://www.youtube.com/watch?v=vd9XS0IV_VM,33404,2021-01-02,0:24:33,
6,"V-LOG | 네일리스트 일상브이로그(셀프네일,아이폰12 pro max,스와정리,네일비트추천,네일재료언박싱,스테이크해먹기,집순이,니트네일,오블라,톰포드향수)",https://www.youtube.com/watch?v=J4WzdUv4spY,32564,2020-12-22,0:20:16,
7,"V-LOG | 네일리스트 일상브이로그(12월 이달의아트,네일샵의하루,트리네일,크리스마스네일,겨울네일추천,네일샵수강,소울시즌스,늬앙스네일,부추전해먹기,허쉬롤케익)",https://www.youtube.com/watch?v=HskHcXVYK5w,39325,2020-12-08,0:24:53,
8,"V-LOG | 네일리스트 일상브이로그(비수기네일샵일상,트위드네일,양초주문,겨울네일추천,연장젤재사용법,앙고라네일,세미나가기,강남L7호텔,글리터네일,커텐교체)",https://www.youtube.com/watch?v=qGrInvPYN30,37506,2020-11-24,0:17:45,
9,"V-LOG | 네일리스트 일상브이로그(카메라샀어욧📸 yayy!! 캐논 gx mark 3,파우더그라,실크랩핑,무광체크네일,마블네일,논픽션,가이악플라워,젠틀나잇,대천바다,대방어)",https://www.youtube.com/watch?v=o_NXJEpbeQI,25937,2020-11-12,0:20:06,
10,"V-LOG | 네일리스트 일상브이로그(늦은여름휴가,홀로제주1박2일여행,친구랑1박2일여행,스누피가든,제주김만복,풍림다방,오가닉제주,하도리오길잘했어,협재,여성용게하추천,큐브오누)",https://www.youtube.com/watch?v=DosEjmdibd4,10697,2020-10-14,0:21:59,
11,"V-LOG | 네일리스트 브이로그(셀프네일,호박네일하는법,카누팁연장,톤다운염색,마블네일,가을네일,네일샵일상체크네일,캣워크)",https://www.youtube.com/watch?v=5MJPGm4lhKQ,40621,2020-10-04,0:23:53,
12,"V-LOG | 네일리스트 일상브이로그(화이트그라하는법,가을신상컬러,카누팁구매 ,네일샵일상,가을옷언박싱,글리터그라,스톤그라네일,오스하우스,헤이카페,곱도리탕,크로플)",https://www.youtube.com/watch?v=Uyjlld_qWK0,63201,2020-09-06,0:24:33,
13,"V-LOG | 네일리스트 일상브이로그(도깨비젤,글리터네일,네일리스트일상,유리필름네일,무화과복숭아먹기,그릇주문,무지개네일,세로그라네일,마켓컬리,라면뿌셔뿌셔🥁)",https://www.youtube.com/watch?v=fIYHahxvAt8,34519,2020-08-12,0:15:14,
14,"V-LOG | 네일리스트 일상브이로그(열손풀조각스톤네일,퍼스널컬러진단,네일샵일상,그라파우더네일,고객님이랑티타임,대창나베,네일샵일상,올리브패디)",https://www.youtube.com/watch?v=6EO5y1C2wgY,82028,2020-08-06,0:34:21,
